t test,Normal
t test,Independent
t test,Homogeneity of variance
ANOVA,Independen
ANOVA,Normal
ANOVA,Homogeneity of variance
MANOVA,Independen
MANOVA,Normal
MANOVA,Homogeneity of covariance matrices
ANCOVA,Normal
ANCOVA,Homogeneity of variance
ANCOVA,Independen
ANCOVA,linearity
ANCOVA,Homogeneity of regression slopes
Linear regression,Homogeneity of variance
Linear regression,Normal
Linear regression,lack of multicollinearity
Linear regression,linearity
Linear regression,Independen
chi square,Expected cell count
chi square,Independen
Logistic regression,Independen